Позывной,Гос. номер,Расстояние,Стоимость,Наличными,Безнал,Подача,Маршрут,Статус,Тип оплаты,Зачисление,Оценка
82131,AE0439OM,3.41,125.00,0.00,125.00,23-05-2021 23:41,"Vokzalna square, 1  - Dilova street (Dymytrova street), 2 ",Выполнен,Безналичная оплата,На баланс,
183904,AE0694PA,7.25,159.00,0.00,159.00,23-05-2021 23:33,"Ресторан Євразія (просп. Перемоги, 45)  - вулиця Копилівська, 67 ",Выполнен,Безналичная оплата,На баланс,5
101768,AE2982OA,17.26,210.00,0.00,210.00,23-05-2021 23:15,"Железнодорожный вокзал Киев-Пассажирский (Вокзальная площадь, 1)  - ЖК Европейка (Соф. Борщаговка, улица Соборная, 103) ",Выполнен,Безналичная оплата,На баланс,5
184077,AE3690PB,10.09,200.00,0.00,200.00,23-05-2021 23:08,"Московська вулиця, 31/33  - Олени Пчілки вулиця, 6А ",Выполнен,Безналичная оплата,На баланс,
82131,AE0439OM,3.57,111.00,0.00,111.00,23-05-2021 23:07,"Андреевский спуск, 23  - Паньківська вулиця, 3 ",Выполнен,Безналичная оплата,На баланс,
183904,AE0694PA,18.93,166.00,0.00,166.00,23-05-2021 22:55,"Гоголя вулиця (Буча), 10Г  - Теліги Олени вулиця, 9 ",Выполнен,Безналичная оплата,На баланс,5
184077,AE3690PB,9.13,142.00,142.00,0.00,23-05-2021 22:41,"Иорданская улица, 2  - Набережне шосе, 25 ",Выполнен,Оплата наличными,Оплата наличными,1
82131,AE0439OM,2.73,94.00,0.00,94.00,23-05-2021 22:39,"Гончара Олеся вулиця, 35  - Тарасівська вулиця, 3А ",Выполнен,Безналичная оплата,На баланс,
82131,AE0439OM,3.24,100.00,0.00,100.00,23-05-2021 22:24,"Хрещатик вулиця, 6  - Павлівська вулиця, 10 ",Выполнен,Безналичная оплата,На баланс,
183904,AE0694PA,11.11,154.00,0.00,154.00,23-05-2021 22:10,"Независимости улица (Гостомель), 69  - Строительная улица (Ворзель), 21 ",Выполнен,Безналичная оплата,На баланс,5
101768,AE2982OA,7.18,77.00,77.00,0.00,23-05-2021 22:05,"Толстого улица (Софиевская Борщаговка), 71  - Вацлава Гавела бульвар, 75А ",Выполнен,Оплата наличными,Оплата наличными,5
82131,AE0439OM,3.19,99.00,99.00,0.00,23-05-2021 21:58,"Майдан Незалежности, 1  - Железнодорожный вокзал Киев-Пассажирский (Вокзальная площадь, 1) ",Выполнен,Оплата наличными,Оплата наличными,
184077,AE3690PB,14.52,204.00,0.00,204.00,23-05-2021 21:51,"Ресторан Амстер Дамстер (вул. Велика Васильківська, 111-113)  - Bohatyrska street, 6А ",Выполнен,Безналичная оплата,На баланс,
101768,AE2982OA,5.51,104.00,0.00,104.00,23-05-2021 21:48,"Shalimova Akademika street (Sofiivska Borshchahivka), 67  - Boholiubova street (Sofiivska Borshchahivka), 36 ",Выполнен,Безналичная оплата,На баланс,5
101768,AE2982OA23-05-2021 21:46,"ТРЦ Европарк (Соф. Борщаговка, ул. Соборная, 140А)  - Киевская улица (Вишневое), 2Л ",Отменен,Оплата наличными,Оплата наличными,
82131,AE0439OM,5.85,130.00,130.00,0.00,23-05-2021 21:41,"Кафе Компот (пл. Почтовая, 3Б)  - ТРЦ Арена Сити (ул. Большая Васильковская, 1-3) ",Выполнен,Оплата наличными,Оплата наличными,1
82131,AE0439OM23-05-2021 21:17,"Вейк-База Адреналин (Московский мост)  - Прорезная улица, 21 ",Отменен,Оплата наличными,Оплата наличными,5
82131,AE0439OM23-05-2021 21:14,"Unnamed Road, місто Київ  - Турчина Игоря улица, 1/15  - Гонгадзе Георгия проспект, 4 ",Отменен,Безналичная оплата,На баланс,5
183904,AE0694PA,33.66,500.00,0.00,500.00,23-05-2021 21:08,"Мира улица (Боярка), 11  - Святошинская улица (Вишневое), 40Г  - Раменская улица (Горенка), 84 ",Выполнен,Безналичная оплата,На баланс,5
184077,AE3690PB,16.17,140.00,140.00,0.00,23-05-2021 21:05,"ЖК Софиевская сфера (Софиевская Борщаговка, ул. Соборная, 126/19)  - Соломенская улица, 23 ",Выполнен,Оплата наличными,Оплата наличными,5
101768,AE2982OA,5.65,75.00,0.00,75.00,23-05-2021 21:05,"Чкалова улица (Петропавловская Борщаговка), 44  - Небесной Сотни проспект (Софиевская Борщаговка), 18/2 ",Выполнен,Безналичная оплата,На баланс,5
82131,AE0439OM23-05-2021 20:31,"Ресторан Яблоко (ул. Саксаганского, 8)  - Победы проспект, 5В ",Отменен,Безналичная оплата,На баланс,
82131,AE0439OM,11.05,98.00,98.00,0.00,23-05-2021 20:02,"Урловская улица, 17  - Большая Васильковская улица, 112 ",Выполнен,Оплата наличными,Оплата наличными,3
183904,AE0694PA,30.49,290.00,290.00,0.00,23-05-2021 19:49,"Садовая 17-я улица (Русановские Сады), 43  - Кольцова бульвар, 14А  - Горького улица (Вишневое), 4 ",Выполнен,Оплата наличными,Оплата наличными,5
184077,AE3690PB,14.95,129.00,129.00,0.00,23-05-2021 19:47,"Залізничний вокзал Південний (вул. Кірпи Георгія, 4)  - Шалімова Академіка вулиця (Софіївська Борщагівка), 65 ",Выполнен,Оплата наличными,Оплата наличными,
184077,AE3690PB23-05-2021 19:43,"Гончара Олеся улица, 36А  - ЖК Лесная Сказка (Быковня, улица Радистов, 34) ",Отменен,Оплата наличными,Оплата наличными,
189562,AE4780OX,24.30,196.00,0.00,196.00,23-05-2021 19:03,"Дарницкий бульвар, 8Б  - Владимира Покотило улица, 9 ",Выполнен,Безналичная оплата,На баланс,
183904,AE0694PA,15.83,152.00,0.00,152.00,23-05-2021 18:55,"Вільямса Академіка вулиця, 13К2  - Каховская улица, 60 ",Выполнен,Безналичная оплата,На баланс,5
184077,AE3690PB,11.54,107.00,0.00,107.00,23-05-2021 18:53,"вулиця Євгена Сверстюка, 4a  - Vokzalna square, 1 ",Выполнен,Безналичная оплата,На баланс,
184077,AE3690PB,11.61,115.00,0.00,115.00,23-05-2021 18:14,"Железнодорожный вокзал Киев-Пассажирский (Вокзальная площадь, 1)  - Сверстюка Евгения улица, 6 ",Выполнен,Безналичная оплата,На баланс,
183904,AE0694PA,28.75,323.00,323.00,0.00,23-05-2021 18:01,"Unnamed Road, Київська область  - Ломоносова вулиця, 48А ",Выполнен,Оплата наличными,Оплата наличными,5
189562,AE4780OX,38.70,336.00,0.00,336.00,23-05-2021 17:44,"Ивана Франко улица (Белогородка), 22  - Эрнста улица, 12  - Жмаченко Генерала улица, 12 ",Выполнен,Безналичная оплата,На баланс,
189562,AE4780OX,27.00,215.00,0.00,215.00,23-05-2021 16:54,"Контрактовая площадь, 10А  - Рассветная улица (Белогородка), 37 ",Выполнен,Безналичная оплата,На баланс,
183904,AE0694PA,31.74,315.00,315.00,0.00,23-05-2021 16:50,"проспект Степана Бандери, 15А  - вулиця Квітнева, 23 ",Выполнен,Оплата наличными,Оплата наличными,5
189562,AE4780OX,9.88,148.00,148.00,0.00,23-05-2021 16:17,"Вацлава Гавела бульвар, 9А  - Бар Панкрафт (вул. Ігорівськ, 14) ",Выполнен,Оплата наличными,Оплата наличными,
184077,AE3690PB,11.02,98.00,73.00,25.00,23-05-2021 16:02,"вулиця Академіка Вільямса, 3/7  - Гончара Олеся улица, 24 ",Выполнен,Смешанная оплата,Смешанная оплата,
183904,AE0694PA,28.38,300.00,300.00,0.00,23-05-2021 15:57,"Белогородская улица (Боярка), 23  - Семьи Кристеров улица, 20 ",Выполнен,Оплата наличными,Оплата наличными,1
184077,AE3690PB,1.69,101.00,101.00,0.00,23-05-2021 15:16,"Голосеевский проспект, 120В  - Коломиевский переулок, 16 ",Выполнен,Оплата наличными,Оплата наличными,
191232,AE1173OX,15.07,198.00,198.00,0.00,23-05-2021 14:53,"Елены Пчелки улица, 2А  - Зоопарк (просп. Победы, 32) ",Выполнен,Оплата наличными,Оплата наличными,5
184596,AE1268OX,3.90,84.00,84.00,0.00,23-05-2021 14:18,"ТРЦ Океан Плаза, Ocean Plaza (ул. Антоновича, 176)  - Московская улица, 46/2 ",Выполнен,Оплата наличными,Оплата наличными,5
191232,AE1173OX,11.32,100.00,100.00,0.00,23-05-2021 14:12,"Okruzhna street (Osokorky), 1  - Drahomanova street, 1А ",Выполнен,Оплата наличными,Оплата наличными,5
76738,AE3861MC,17.87,238.00,238.00,0.00,23-05-2021 13:40,"Садова вулиця (Петрівське), 20  - Гаврилюка Олександра вулиця, 39 ",Выполнен,Оплата наличными,Оплата наличными,5
184596,AE1268OX,15.36,157.00,0.00,157.00,23-05-2021 13:38,"Доброхотова Академика улица, 5  - Метро Дружбы народов (в сторону метро Лыбедская) ",Выполнен,Безналичная оплата,На баланс,5
191232,AE1173OX,23.79,247.00,0.00,247.00,23-05-2021 13:09,"Shchusieva Akademika street, 8А  - Sviatyshchenska street (Osokorky), 1 ",Выполнен,Безналичная оплата,На баланс,5
184596,AE1268OX23-05-2021 12:43,"Палладина Академика проспект, 3/10  - Соломенская улица, 20А ",Отменен,Безналичная оплата,На баланс,
184596,AE1268OX23-05-2021 12:41,"Супермаркет Новус, Novus (просп. Палладина Академика, 7А)  - Роллана Ромена бульвар, 5/8 ",Отменен,Безналичная оплата,На баланс,
184596,AE1268OX23-05-2021 12:36,"Палладина Академика проспект, 3/10  - Соломенская улица, 20А ",Отменен,Безналичная оплата,На баланс,
76738,AE3861MC,25.38,309.00,309.00,0.00,23-05-2021 12:32,"Тычины Павла проспект, 3  - Леси Украинки бульвар (Святопетровское), 4 ",Выполнен,Оплата наличными,Оплата наличными,5
191232,AE1173OX,3.91,75.00,0.00,75.00,23-05-2021 12:23,"Гарматная улица, 38  - Парково-Сырецкая улица, 11А ",Выполнен,Безналичная оплата,На баланс,
184596,AE1268OX,11.07,110.00,0.00,110.00,23-05-2021 12:08,"Комарова Космонавта проспект, 4  - Олевская улица, 5 ",Выполнен,Безналичная оплата,На баланс,5
191232,AE1173OX,11.71,128.00,0.00,128.00,23-05-2021 11:44,"Героїв Сталінграда проспект, 22  - Чугуївський провулок, 13А ",Выполнен,Безналичная оплата,На баланс,
191232,AE1173OX,4.81,60.00,0.00,60.00,23-05-2021 11:28,"Supermarket Auchan (Stepana Bandery avenue, 15A)  - Героев Сталинграда проспект, 20 ",Выполнен,Безналичная оплата,На баланс,5
74715,AE8901OT,6.66,91.00,91.00,0.00,23-05-2021 11:10,"вулиця Волинська, 67  - Первомайская улица (Вишневое), 24Г ",Выполнен,Оплата наличными,Оплата наличными,5
76738,AE3861MC,8.83,100.00,100.00,0.00,23-05-2021 10:59,"Малышко Андрея улица, 17  - Каменская улица, 6 ",Выполнен,Оплата наличными,Оплата наличными,5
184596,AE1268OX,14.60,139.00,139.00,0.00,23-05-2021 10:49,"Броварской проспект, 17  - Типография Вульф (ул. Довженко Александра, 3) ",Выполнен,Оплата наличными,Оплата наличными,5
184077,AE3690PB,13.10,148.00,0.00,148.00,23-05-2021 10:31,"Бехтеревский переулок, 14Д  - Экспоцентр ВДНХ (просп. Глушкова Академика, 1) ",Выполнен,Безналичная оплата,На баланс,
198700,BH9134OH,9.18,102.00,102.00,0.00,23-05-2021 10:20,"Ресторан Маяк (ул. Днепровская наб. 2)  - Антоновича Владимира улица, 44 ",Выполнен,Оплата наличными,Оплата наличными,5
184596,AE1268OX,8.91,85.00,85.00,0.00,23-05-2021 10:19,"Пиццерия Pizzburg (Маяковского просп. 97/15)  - Дарницкий бульвар, 8 ",Выполнен,Оплата наличными,Оплата наличными,5
191232,AE1173OX,10.00,125.00,125.00,0.00,23-05-2021 09:59,"Машиностроительная улица, 41  - Степана Бандеры проспект, 23 ",Выполнен,Оплата наличными,Оплата наличными,5
74715,AE8901OT,4.00,100.00,0.00,100.00,23-05-2021 09:44,"Гостиница Ибис Киев Вокзал (ул. Ползунова, 6)  - Прорезная улица, 22Б ",Выполнен,Безналичная оплата,На баланс,5
184596,AE1268OX,17.06,136.00,0.00,136.00,23-05-2021 09:36,"Большая Васильковская улица, 124  - Градинская улица, 6Б ",Выполнен,Безналичная оплата,На баланс,5
191232,AE1173OX,4.81,103.00,103.00,0.00,23-05-2021 09:21,"Сальского Владимира улица, 31  - Берлинского Максима улица, 4  - Победы проспект, 80/57 ",Выполнен,Оплата наличными,Оплата наличными,5
184596,AE1268OX23-05-2021 09:10,"Бойчука Михайла вулиця, 13  - Ковпака вулиця, 4 ",Отменен,Безналичная оплата,На баланс,5
82131,AE0439OM,9.55,108.00,0.00,108.00,23-05-2021 08:56,"Антоновича Владимира улица, 72/74  - Дніпровська набережна, 17 ",Выполнен,Безналичная оплата,На баланс,
184596,AE1268OX,4.31,75.00,0.00,75.00,23-05-2021 08:54,"Феодосийская улица, 3В  - Драгомирова улица, 17 ",Выполнен,Безналичная оплата,На баланс,5
