Позывной,Гос. номер,Безналичные,Наличные ,Общая стоимость,Общая комиссия,Заработок,Бонус,Общее расстояние,К-во поездок,
72523,AE6953KI,603.00,501.00,1104.00,132.48,971.52,0.00,118.17,11.00,
76916,AE3866MC,693.00,908.00,1601.00,192.12,1408.88,0.00,145.29,20.00,
74790,AE3743MC,287.00,113.00,400.00,48.00,352.00,0.00,36.66,3.00,
75112,AE6946KI,159.00,0.00,159.00,19.08,139.92,0.00,10.02,2.00,
82131,AE8639MC,484.00,398.00,882.00,105.84,776.16,0.00,91.42,7.00,
76679,AE6951KI,324.00,708.00,1032.00,123.84,908.16,0.00,114.16,8.00,
82513,AE8621MC,51.00,322.00,373.00,44.76,328.24,0.00,37.24,3.00,
75119,AE3864MC,200.00,0.00,200.00,24.00,176.00,0.00,13.89,3.00,
101411,AE6947KI,514.00,178.00,692.00,83.04,608.96,0.00,53.21,9.00,
75106,AE3730MC,0.00,120.00,120.00,14.40,105.60,0.00,13.61,1.00,
77797,AE6949KI,0.00,161.00,161.00,19.32,141.68,0.00,18.63,1.00,

